#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 10 04 16 00  53  1.5  1.6 99.00 99.00 99.00 999 1013.3  19.0 999.0 999.0 99.0 99.00
2016 10 04 16 06  66  1.9  2.1 99.00 99.00 99.00 999 1013.4  18.9 999.0 999.0 99.0 99.00
2016 10 04 16 12  68  1.7  1.9 99.00 99.00 99.00 999 1013.5  18.9 999.0 999.0 99.0 99.00
2016 10 04 16 18  78  1.7  1.9 99.00 99.00 99.00 999 1013.7  19.0 999.0 999.0 99.0 99.00
2016 10 04 16 24  71  1.3  1.4 99.00 99.00 99.00 999 1013.8  19.2 999.0 999.0 99.0 99.00
2016 10 04 16 30  88  1.3  1.4 99.00 99.00 99.00 999 1013.7  19.5 999.0 999.0 99.0 99.00
2016 10 04 16 36 101  1.2  1.3 99.00 99.00 99.00 999 1013.7  19.4 999.0 999.0 99.0 99.00
2016 10 04 16 42  92  0.8  0.9 99.00 99.00 99.00 999 1013.6  19.9 999.0 999.0 99.0 99.00
2016 10 04 16 54 121  1.4  1.5 99.00 99.00 99.00 999 1013.7  20.2 999.0 999.0 99.0 99.00
2016 10 04 17 00 118  1.6  1.8 99.00 99.00 99.00 999 1013.6  20.2 999.0 999.0 99.0 99.00
2016 10 04 17 06 130  1.7  1.9 99.00 99.00 99.00 999 1013.6  19.6 999.0 999.0 99.0 99.00
2016 10 04 17 12 122  1.6  1.9 99.00 99.00 99.00 999 1013.5  19.5 999.0 999.0 99.0 99.00
2016 10 04 17 18 131  1.5  1.7 99.00 99.00 99.00 999 1013.6  19.6 999.0 999.0 99.0 99.00
2016 10 04 17 24 138  1.9  2.1 99.00 99.00 99.00 999 1013.5  19.0 999.0 999.0 99.0 99.00
2016 10 04 17 30 139  2.4  2.6 99.00 99.00 99.00 999 1013.4  18.8 999.0 999.0 99.0 99.00
2016 10 04 17 36 134  2.1  2.4 99.00 99.00 99.00 999 1013.4  18.8 999.0 999.0 99.0 99.00
2016 10 04 17 42 144  2.3  2.4 99.00 99.00 99.00 999 1013.3  18.8 999.0 999.0 99.0 99.00
2016 10 04 17 48 159  2.1  2.4 99.00 99.00 99.00 999 1013.2  19.5 999.0 999.0 99.0 99.00
2016 10 04 17 54 164  2.2  2.5 99.00 99.00 99.00 999 1013.1  19.9 999.0 999.0 99.0 99.00
2016 10 04 18 00 162  3.0  3.2 99.00 99.00 99.00 999 1013.0  20.2 999.0 999.0 99.0 99.00
2016 10 04 18 06 161  3.3  3.4 99.00 99.00 99.00 999 1013.0  20.1 999.0 999.0 99.0 99.00
2016 10 04 18 12 174  2.7  3.2 99.00 99.00 99.00 999 1013.0  20.1 999.0 999.0 99.0 99.00
2016 10 04 18 24 182  3.3  3.6 99.00 99.00 99.00 999 1013.0  20.0 999.0 999.0 99.0 99.00
2016 10 04 18 30 186  3.3  3.6 99.00 99.00 99.00 999 1012.9  20.0 999.0 999.0 99.0 99.00
2016 10 04 18 36 206  3.5  3.7 99.00 99.00 99.00 999 1012.9  20.1 999.0 999.0 99.0 99.00
2016 10 04 18 42 204  3.4  3.6 99.00 99.00 99.00 999 1013.0  19.3 999.0 999.0 99.0 99.00
2016 10 04 18 48 208  3.4  3.7 99.00 99.00 99.00 999 1013.0  19.3 999.0 999.0 99.0 99.00
2016 10 04 18 54 196  3.7  4.3 99.00 99.00 99.00 999 1012.9  19.6 999.0 999.0 99.0 99.00
2016 10 04 19 00 209  3.7  4.3 99.00 99.00 99.00 999 1012.8  19.1 999.0 999.0 99.0 99.00
2016 10 04 19 06 202  3.9  4.1 99.00 99.00 99.00 999 1012.8  19.6 999.0 999.0 99.0 99.00
2016 10 04 19 12 205  4.1  4.3 99.00 99.00 99.00 999 1012.7  19.2 999.0 999.0 99.0 99.00
2016 10 04 19 18 196  4.4  4.8 99.00 99.00 99.00 999 1012.7  19.6 999.0 999.0 99.0 99.00
2016 10 04 19 24 205  4.4  4.8 99.00 99.00 99.00 999 1012.5  19.6 999.0 999.0 99.0 99.00
2016 10 04 19 30 198  4.8  5.5 99.00 99.00 99.00 999 1012.5  19.8 999.0 999.0 99.0 99.00
2016 10 04 19 36 204  4.5  4.8 99.00 99.00 99.00 999 1012.4  19.3 999.0 999.0 99.0 99.00
2016 10 04 19 48 203  5.2  5.6 99.00 99.00 99.00 999 1012.3  19.3 999.0 999.0 99.0 99.00
2016 10 04 19 54 209  5.2  5.5 99.00 99.00 99.00 999 1012.3  19.2 999.0 999.0 99.0 99.00
2016 10 04 20 00 209  5.1  5.7 99.00 99.00 99.00 999 1012.3  19.1 999.0 999.0 99.0 99.00
2016 10 04 20 06 216  5.1  5.9 99.00 99.00 99.00 999 1012.3  19.1 999.0 999.0 99.0 99.00
2016 10 04 20 12 213  4.8  5.3 99.00 99.00 99.00 999 1012.2  19.0 999.0 999.0 99.0 99.00
2016 10 04 20 18 215  5.4  5.7 99.00 99.00 99.00 999 1012.1  18.9 999.0 999.0 99.0 99.00
2016 10 04 20 30 212  5.6  6.1 99.00 99.00 99.00 999 1012.0  19.1 999.0 999.0 99.0 99.00
2016 10 04 20 36 213  5.8  6.0 99.00 99.00 99.00 999 1012.0  19.1 999.0 999.0 99.0 99.00
2016 10 04 20 42 216  5.9  6.3 99.00 99.00 99.00 999 1011.8  18.9 999.0 999.0 99.0 99.00
2016 10 04 20 48 216  6.0  6.6 99.00 99.00 99.00 999 1011.8  18.9 999.0 999.0 99.0 99.00
2016 10 04 20 54 228  5.4  5.9 99.00 99.00 99.00 999 1011.8  19.2 999.0 999.0 99.0 99.00
2016 10 04 21 00 227  6.3  7.0 99.00 99.00 99.00 999 1011.8  19.2 999.0 999.0 99.0 99.00
2016 10 04 21 06 223  6.2  7.0 99.00 99.00 99.00 999 1011.7  19.4 999.0 999.0 99.0 99.00
2016 10 04 21 18 224  6.9  7.4 99.00 99.00 99.00 999 1011.4  18.8 999.0 999.0 99.0 99.00
2016 10 04 21 24 224  7.3  7.6 99.00 99.00 99.00 999 1011.3  18.8 999.0 999.0 99.0 99.00
2016 10 04 21 30 218  7.2  7.8 99.00 99.00 99.00 999 1011.3  18.8 999.0 999.0 99.0 99.00
2016 10 04 21 36 227  6.4  7.9 99.00 99.00 99.00 999 9999.0  19.0 999.0 999.0 99.0 99.00
2016 10 04 21 42 229  6.5  8.0 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2016 10 04 21 48 230  6.6  7.9 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2016 10 04 21 54 231  6.6  8.2 99.00 99.00 99.00 999 1011.3  19.4 999.0 999.0 99.0 99.00
2016 10 04 22 00 229  7.5  8.7 99.00 99.00 99.00 999 1011.3  19.4 999.0 999.0 99.0 99.00
2016 10 04 22 06 233  7.6  9.2 99.00 99.00 99.00 999 1011.3  19.1 999.0 999.0 99.0 99.00
2016 10 04 22 12 233  7.0  8.3 99.00 99.00 99.00 999 1011.3  19.0 999.0 999.0 99.0 99.00
2016 10 04 22 18 227  7.6  8.7 99.00 99.00 99.00 999 1011.4  18.6 999.0 999.0 99.0 99.00
2016 10 04 22 24 232  5.1  6.6 99.00 99.00 99.00 999 9999.0  19.1 999.0 999.0 99.0 99.00
2016 10 04 22 30 227  7.3  8.2 99.00 99.00 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2016 10 04 22 36 999 99.0 99.0 99.00 99.00 99.00 999 1011.3 999.0 999.0 999.0 99.0 99.00
2016 10 04 22 42 999 99.0 99.0 99.00 99.00 99.00 999 1011.3 999.0 999.0 999.0 99.0 99.00
2016 10 04 22 48 999 99.0 99.0 99.00 99.00 99.00 999 1011.2 999.0 999.0 999.0 99.0 99.00
2016 10 04 22 54 234  6.0  8.3 99.00 99.00 99.00 999 1011.2  19.2 999.0 999.0 99.0 99.00
2016 10 04 23 00 238  6.5  8.1 99.00 99.00 99.00 999 1011.2  18.9 999.0 999.0 99.0 99.00
2016 10 04 23 06 999 99.0 99.0 99.00 99.00 99.00 999 1011.2  19.0 999.0 999.0 99.0 99.00
2016 10 04 23 12 999 99.0 99.0 99.00 99.00 99.00 999 1011.1  18.9 999.0 999.0 99.0 99.00
2016 10 04 23 18 999 99.0 99.0 99.00 99.00 99.00 999 1011.1  19.1 999.0 999.0 99.0 99.00
2016 10 04 23 24 237  6.2  7.3 99.00 99.00 99.00 999 9999.0  19.1 999.0 999.0 99.0 99.00
2016 10 04 23 30 237  5.9  8.0 99.00 99.00 99.00 999 9999.0  19.0 999.0 999.0 99.0 99.00
2016 10 04 23 36 999 99.0 99.0 99.00 99.00 99.00 999 1011.0 999.0 999.0 999.0 99.0 99.00
2016 10 04 23 42 999 99.0 99.0 99.00 99.00 99.00 999 1011.0 999.0 999.0 999.0 99.0 99.00
2016 10 04 23 48 999 99.0 99.0 99.00 99.00 99.00 999 1011.1 999.0 999.0 999.0 99.0 99.00
2016 10 04 23 54 227  7.0  8.5 99.00 99.00 99.00 999 1011.1  18.7 999.0 999.0 99.0 99.00
2016 10 05 00 00 238  7.8  8.8 99.00 99.00 99.00 999 1011.1  18.6 999.0 999.0 99.0 99.00
2016 10 05 00 06 234  5.8  7.1 99.00 99.00 99.00 999 1010.9  18.6 999.0 999.0 99.0 99.00
2016 10 05 00 12 230  6.3  8.3 99.00 99.00 99.00 999 1010.9  18.5 999.0 999.0 99.0 99.00
2016 10 05 00 18 233  6.0  7.7 99.00 99.00 99.00 999 1010.9  18.6 999.0 999.0 99.0 99.00
2016 10 05 00 24 241  4.7  6.0 99.00 99.00 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2016 10 05 00 30 228  6.1  7.7 99.00 99.00 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2016 10 05 00 36 230  6.0  7.2 99.00 99.00 99.00 999 9999.0  18.5 999.0 999.0 99.0 99.00
2016 10 05 00 42 229  5.3  7.2 99.00 99.00 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2016 10 05 00 48 231  6.2  7.7 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2016 10 05 00 54 230  6.0  7.5 99.00 99.00 99.00 999 1010.9  18.4 999.0 999.0 99.0 99.00
2016 10 05 01 00 234  5.4  6.9 99.00 99.00 99.00 999 1010.9  18.5 999.0 999.0 99.0 99.00
2016 10 05 01 06 231  6.2  7.4 99.00 99.00 99.00 999 1010.9  18.4 999.0 999.0 99.0 99.00
2016 10 05 01 12 224  6.4  7.1 99.00 99.00 99.00 999 1010.9  18.3 999.0 999.0 99.0 99.00
2016 10 05 01 18 233  5.1  6.9 99.00 99.00 99.00 999 1011.0  18.5 999.0 999.0 99.0 99.00
2016 10 05 01 24 233  5.4  7.2 99.00 99.00 99.00 999 9999.0  18.3 999.0 999.0 99.0 99.00
2016 10 05 01 30 223  6.8  7.7 99.00 99.00 99.00 999 9999.0  18.1 999.0 999.0 99.0 99.00
2016 10 05 01 36 223  6.6  7.4 99.00 99.00 99.00 999 1011.0  18.1 999.0 999.0 99.0 99.00
2016 10 05 01 42 219  7.0  7.6 99.00 99.00 99.00 999 1011.0  18.1 999.0 999.0 99.0 99.00
2016 10 05 01 48 221  6.2  6.9 99.00 99.00 99.00 999 1011.1  18.1 999.0 999.0 99.0 99.00
2016 10 05 01 54 220  6.3  6.9 99.00 99.00 99.00 999 1011.1  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 00 222  6.0  6.8 99.00 99.00 99.00 999 1011.1  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 06 213  6.5  7.0 99.00 99.00 99.00 999 1011.0  18.0 999.0 999.0 99.0 99.00
2016 10 05 02 12 214  5.7  6.0 99.00 99.00 99.00 999 1011.1  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 18 214  5.9  6.5 99.00 99.00 99.00 999 1011.2  18.0 999.0 999.0 99.0 99.00
2016 10 05 02 24 212  5.4  6.1 99.00 99.00 99.00 999 1011.2  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 30 216  5.4  5.8 99.00 99.00 99.00 999 1011.3  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 36 214  5.1  5.4 99.00 99.00 99.00 999 1011.3  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 42 214  4.7  5.3 99.00 99.00 99.00 999 1011.4  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 48 211  4.4  5.0 99.00 99.00 99.00 999 1011.4  18.1 999.0 999.0 99.0 99.00
2016 10 05 02 54 209  3.5  3.7 99.00 99.00 99.00 999 1011.5  18.1 999.0 999.0 99.0 99.00
2016 10 05 03 00 205  3.6  4.0 99.00 99.00 99.00 999 1011.5  18.0 999.0 999.0 99.0 99.00
2016 10 05 03 06 204  3.1  3.3 99.00 99.00 99.00 999 1011.7  18.0 999.0 999.0 99.0 99.00
2016 10 05 03 12 199  3.2  3.5 99.00 99.00 99.00 999 1011.7  18.0 999.0 999.0 99.0 99.00
2016 10 05 03 18 192  3.5  3.8 99.00 99.00 99.00 999 1011.8  17.9 999.0 999.0 99.0 99.00
2016 10 05 03 24 194  3.3  3.6 99.00 99.00 99.00 999 1011.8  17.9 999.0 999.0 99.0 99.00
2016 10 05 03 30 195  3.0  3.2 99.00 99.00 99.00 999 1011.9  17.9 999.0 999.0 99.0 99.00
2016 10 05 03 36 190  3.2  3.5 99.00 99.00 99.00 999 1011.9  17.8 999.0 999.0 99.0 99.00
2016 10 05 03 42 176  3.5  3.7 99.00 99.00 99.00 999 1011.8  17.9 999.0 999.0 99.0 99.00
2016 10 05 03 48 178  3.3  3.6 99.00 99.00 99.00 999 1011.9  17.9 999.0 999.0 99.0 99.00
2016 10 05 03 54 171  3.3  3.6 99.00 99.00 99.00 999 1011.9  17.8 999.0 999.0 99.0 99.00
2016 10 05 04 00 160  3.1  3.3 99.00 99.00 99.00 999 1011.9  17.8 999.0 999.0 99.0 99.00
2016 10 05 04 06 160  2.3  2.5 99.00 99.00 99.00 999 1012.1  17.9 999.0 999.0 99.0 99.00
2016 10 05 04 12 166  2.4  2.5 99.00 99.00 99.00 999 1012.2  17.7 999.0 999.0 99.0 99.00
2016 10 05 04 18 154  2.4  2.4 99.00 99.00 99.00 999 1012.2  17.8 999.0 999.0 99.0 99.00
2016 10 05 04 24 154  1.6  1.8 99.00 99.00 99.00 999 1012.4  17.9 999.0 999.0 99.0 99.00
2016 10 05 04 30 149  1.7  1.9 99.00 99.00 99.00 999 1012.4  17.8 999.0 999.0 99.0 99.00
2016 10 05 04 36 153  1.8  1.9 99.00 99.00 99.00 999 1012.4  18.0 999.0 999.0 99.0 99.00
2016 10 05 04 42 136  1.7  1.8 99.00 99.00 99.00 999 1012.5  18.0 999.0 999.0 99.0 99.00
2016 10 05 04 48 118  1.6  1.7 99.00 99.00 99.00 999 1012.6  18.0 999.0 999.0 99.0 99.00
2016 10 05 04 54 125  1.7  1.8 99.00 99.00 99.00 999 1012.5  17.9 999.0 999.0 99.0 99.00
2016 10 05 05 00 116  1.3  1.4 99.00 99.00 99.00 999 1012.5  17.9 999.0 999.0 99.0 99.00
2016 10 05 05 06 108  1.4  1.5 99.00 99.00 99.00 999 1012.6  17.9 999.0 999.0 99.0 99.00
2016 10 05 05 12 105  1.2  1.3 99.00 99.00 99.00 999 1012.7  17.9 999.0 999.0 99.0 99.00
2016 10 05 05 18 111  0.9  1.0 99.00 99.00 99.00 999 1012.8  17.8 999.0 999.0 99.0 99.00
2016 10 05 05 24 118  0.6  0.6 99.00 99.00 99.00 999 1012.8  17.8 999.0 999.0 99.0 99.00
2016 10 05 05 30 124  1.6  2.4 99.00 99.00 99.00 999 1012.7  17.8 999.0 999.0 99.0 99.00
2016 10 05 05 36 134  3.6  3.9 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2016 10 05 05 42 142  3.7  3.9 99.00 99.00 99.00 999 1012.8 999.0 999.0 999.0 99.0 99.00
2016 10 05 05 48 147  3.1  3.3 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2016 10 05 05 54 147  2.9  3.2 99.00 99.00 99.00 999 1012.6  18.4 999.0 999.0 99.0 99.00
2016 10 05 06 00 140  2.9  3.2 99.00 99.00 99.00 999 1012.7  18.4 999.0 999.0 99.0 99.00
2016 10 05 06 06 136  3.2  3.4 99.00 99.00 99.00 999 1012.6  18.5 999.0 999.0 99.0 99.00
2016 10 05 06 12 128  2.2  2.4 99.00 99.00 99.00 999 1012.7  18.4 999.0 999.0 99.0 99.00
2016 10 05 06 18 136  2.4  2.6 99.00 99.00 99.00 999 1012.6  18.4 999.0 999.0 99.0 99.00
2016 10 05 06 24 141  1.7  2.0 99.00 99.00 99.00 999 1012.7  18.5 999.0 999.0 99.0 99.00
2016 10 05 06 30 135  1.3  1.4 99.00 99.00 99.00 999 1012.7  18.4 999.0 999.0 99.0 99.00
2016 10 05 06 36 125  1.5  1.6 99.00 99.00 99.00 999 1012.6  18.4 999.0 999.0 99.0 99.00
2016 10 05 06 42 125  1.5  1.7 99.00 99.00 99.00 999 1012.6  18.3 999.0 999.0 99.0 99.00
2016 10 05 06 48 120  1.7  1.9 99.00 99.00 99.00 999 1012.6  18.2 999.0 999.0 99.0 99.00
2016 10 05 07 00 107  2.4  3.1 99.00 99.00 99.00 999 1012.5  18.3 999.0 999.0 99.0 99.00
2016 10 05 07 06 119  5.2  6.2 99.00 99.00 99.00 999 1012.3  18.4 999.0 999.0 99.0 99.00
2016 10 05 07 12 120  5.0  5.5 99.00 99.00 99.00 999 1012.2  18.4 999.0 999.0 99.0 99.00
2016 10 05 07 18 120  5.6  6.1 99.00 99.00 99.00 999 1012.2  18.3 999.0 999.0 99.0 99.00
2016 10 05 07 24 105  4.6  5.1 99.00 99.00 99.00 999 1012.3  18.4 999.0 999.0 99.0 99.00
2016 10 05 07 30  98  5.1  6.3 99.00 99.00 99.00 999 1012.2  18.3 999.0 999.0 99.0 99.00
2016 10 05 07 36  96  4.8  5.3 99.00 99.00 99.00 999 1012.2  18.4 999.0 999.0 99.0 99.00
2016 10 05 07 42  94  4.3  4.8 99.00 99.00 99.00 999 1012.2  18.4 999.0 999.0 99.0 99.00
2016 10 05 07 48 106  5.9  6.6 99.00 99.00 99.00 999 1012.1  18.3 999.0 999.0 99.0 99.00
2016 10 05 07 54 104  5.9  6.4 99.00 99.00 99.00 999 1012.1  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 00 100  5.4  6.0 99.00 99.00 99.00 999 1012.2  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 06 105  5.4  5.9 99.00 99.00 99.00 999 1012.2  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 12 105  5.2  6.1 99.00 99.00 99.00 999 1012.3  18.3 999.0 999.0 99.0 99.00
2016 10 05 08 18 107  5.6  6.2 99.00 99.00 99.00 999 1012.2  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 24 103  5.4  6.0 99.00 99.00 99.00 999 1012.3  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 30 104  5.0  6.0 99.00 99.00 99.00 999 1012.3  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 36  96  4.6  5.0 99.00 99.00 99.00 999 1012.3  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 42  99  5.1  6.3 99.00 99.00 99.00 999 1012.2  18.2 999.0 999.0 99.0 99.00
2016 10 05 08 48  93  4.8  5.1 99.00 99.00 99.00 999 1012.2  18.1 999.0 999.0 99.0 99.00
2016 10 05 08 54 105  5.8  6.2 99.00 99.00 99.00 999 1012.2  18.1 999.0 999.0 99.0 99.00
2016 10 05 09 00 100  4.2  4.9 99.00 99.00 99.00 999 1012.3  18.1 999.0 999.0 99.0 99.00
2016 10 05 09 06  96  4.4  4.8 99.00 99.00 99.00 999 1012.3  18.1 999.0 999.0 99.0 99.00
2016 10 05 09 12  92  4.6  5.1 99.00 99.00 99.00 999 1012.3  18.1 999.0 999.0 99.0 99.00
2016 10 05 09 18  76  4.3  4.7 99.00 99.00 99.00 999 1012.3  18.0 999.0 999.0 99.0 99.00
2016 10 05 09 24  64  4.2  4.7 99.00 99.00 99.00 999 1012.3  17.9 999.0 999.0 99.0 99.00
2016 10 05 09 30  70  4.0  4.5 99.00 99.00 99.00 999 1012.2  17.9 999.0 999.0 99.0 99.00
