#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 10 04 10 00 336  3.2  3.4 99.00 99.00 99.00 999 1011.8  18.2 999.0 999.0 99.0 99.00
2016 10 04 10 06 333  2.6  2.9 99.00 99.00 99.00 999 1011.8  18.2 999.0 999.0 99.0 99.00
2016 10 04 10 12 337  3.2  3.5 99.00 99.00 99.00 999 1011.8  18.0 999.0 999.0 99.0 99.00
2016 10 04 10 18 322  2.7  3.1 99.00 99.00 99.00 999 1011.8  18.0 999.0 999.0 99.0 99.00
2016 10 04 10 24 339  2.8  3.0 99.00 99.00 99.00 999 1011.7  17.9 999.0 999.0 99.0 99.00
2016 10 04 10 30   0  2.5  2.7 99.00 99.00 99.00 999 1011.7  17.8 999.0 999.0 99.0 99.00
2016 10 04 10 36 353  2.2  2.4 99.00 99.00 99.00 999 1011.7  17.6 999.0 999.0 99.0 99.00
2016 10 04 10 42 345  1.5  1.7 99.00 99.00 99.00 999 1011.6  17.6 999.0 999.0 99.0 99.00
2016 10 04 10 48 352  2.0  2.3 99.00 99.00 99.00 999 1011.7  17.5 999.0 999.0 99.0 99.00
2016 10 04 10 54 348  1.7  2.0 99.00 99.00 99.00 999 1011.7  17.6 999.0 999.0 99.0 99.00
2016 10 04 11 00 349  2.1  2.4 99.00 99.00 99.00 999 1011.7  17.5 999.0 999.0 99.0 99.00
2016 10 04 11 06 353  2.0  2.3 99.00 99.00 99.00 999 1011.6  17.4 999.0 999.0 99.0 99.00
2016 10 04 11 12 347  1.4  1.6 99.00 99.00 99.00 999 1011.6  17.5 999.0 999.0 99.0 99.00
2016 10 04 11 18 347  1.5  1.7 99.00 99.00 99.00 999 1011.7  17.3 999.0 999.0 99.0 99.00
2016 10 04 11 24 322  1.4  1.6 99.00 99.00 99.00 999 1011.8  17.4 999.0 999.0 99.0 99.00
2016 10 04 11 30 344  1.2  1.5 99.00 99.00 99.00 999 1011.8  17.4 999.0 999.0 99.0 99.00
2016 10 04 11 36 346  1.5  1.7 99.00 99.00 99.00 999 1011.8  17.3 999.0 999.0 99.0 99.00
2016 10 04 11 42 315  1.6  1.8 99.00 99.00 99.00 999 1011.8  17.2 999.0 999.0 99.0 99.00
2016 10 04 11 48 302  1.4  1.6 99.00 99.00 99.00 999 1011.6  17.1 999.0 999.0 99.0 99.00
2016 10 04 11 54 291  1.5  1.7 99.00 99.00 99.00 999 1011.6  17.1 999.0 999.0 99.0 99.00
2016 10 04 12 00 294  1.8  1.9 99.00 99.00 99.00 999 1011.7  17.0 999.0 999.0 99.0 99.00
2016 10 04 12 06 296  2.0  2.2 99.00 99.00 99.00 999 1011.7  17.0 999.0 999.0 99.0 99.00
2016 10 04 12 18 311  2.0  2.2 99.00 99.00 99.00 999 1011.7  16.9 999.0 999.0 99.0 99.00
2016 10 04 12 24 306  1.5  1.7 99.00 99.00 99.00 999 1011.8  17.0 999.0 999.0 99.0 99.00
2016 10 04 12 30 305  2.0  2.2 99.00 99.00 99.00 999 1011.8  17.0 999.0 999.0 99.0 99.00
2016 10 04 12 36 304  1.9  2.1 99.00 99.00 99.00 999 1011.8  16.9 999.0 999.0 99.0 99.00
2016 10 04 12 42 316  1.9  2.1 99.00 99.00 99.00 999 1011.7  16.9 999.0 999.0 99.0 99.00
2016 10 04 12 48 325  2.0  2.3 99.00 99.00 99.00 999 1011.7  16.9 999.0 999.0 99.0 99.00
2016 10 04 12 54 322  1.8  2.0 99.00 99.00 99.00 999 1011.7  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 00 317  1.5  1.8 99.00 99.00 99.00 999 1011.7  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 06 320  1.2  1.3 99.00 99.00 99.00 999 1011.7  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 12 319  2.3  2.5 99.00 99.00 99.00 999 1011.9  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 18 328  2.8  3.1 99.00 99.00 99.00 999 1012.0  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 24 319  2.7  2.9 99.00 99.00 99.00 999 1012.1  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 30 319  2.7  3.0 99.00 99.00 99.00 999 1012.2  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 36 327  2.6  3.0 99.00 99.00 99.00 999 1012.1  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 42 321  2.5  2.8 99.00 99.00 99.00 999 1012.3  16.9 999.0 999.0 99.0 99.00
2016 10 04 13 48 321  2.1  2.3 99.00 99.00 99.00 999 1012.2  16.7 999.0 999.0 99.0 99.00
2016 10 04 13 54 303  1.2  1.6 99.00 99.00 99.00 999 1012.2  16.8 999.0 999.0 99.0 99.00
2016 10 04 14 00 322  0.9  1.3 99.00 99.00 99.00 999 1012.3  16.7 999.0 999.0 99.0 99.00
2016 10 04 14 06 334  1.9  2.1 99.00 99.00 99.00 999 1012.3  16.8 999.0 999.0 99.0 99.00
2016 10 04 14 12 343  1.5  1.7 99.00 99.00 99.00 999 1012.5  16.9 999.0 999.0 99.0 99.00
2016 10 04 14 18 347  1.9  2.0 99.00 99.00 99.00 999 1012.6  16.9 999.0 999.0 99.0 99.00
2016 10 04 14 24 309  1.3  1.5 99.00 99.00 99.00 999 1012.6  16.9 999.0 999.0 99.0 99.00
2016 10 04 14 30 323  1.6  1.9 99.00 99.00 99.00 999 1012.6  16.9 999.0 999.0 99.0 99.00
2016 10 04 14 36 331  1.9  2.2 99.00 99.00 99.00 999 1012.6  17.2 999.0 999.0 99.0 99.00
2016 10 04 14 42 333  2.1  2.3 99.00 99.00 99.00 999 1012.7  17.2 999.0 999.0 99.0 99.00
2016 10 04 14 48 341  1.1  1.3 99.00 99.00 99.00 999 1012.7  17.3 999.0 999.0 99.0 99.00
2016 10 04 14 54 321  1.3  1.5 99.00 99.00 99.00 999 1012.8  17.5 999.0 999.0 99.0 99.00
2016 10 04 15 00  27  1.5  1.8 99.00 99.00 99.00 999 1012.8  17.6 999.0 999.0 99.0 99.00
2016 10 04 15 06   2  1.6  1.8 99.00 99.00 99.00 999 1012.8  17.7 999.0 999.0 99.0 99.00
2016 10 04 15 12 354  2.3  2.5 99.00 99.00 99.00 999 1012.9  17.8 999.0 999.0 99.0 99.00
2016 10 04 15 18 350  2.2  2.4 99.00 99.00 99.00 999 1012.9  17.9 999.0 999.0 99.0 99.00
2016 10 04 15 24 349  2.1  2.4 99.00 99.00 99.00 999 1013.1  18.1 999.0 999.0 99.0 99.00
2016 10 04 15 30   2  2.0  2.2 99.00 99.00 99.00 999 1013.2  18.3 999.0 999.0 99.0 99.00
2016 10 04 15 36   3  1.9  2.0 99.00 99.00 99.00 999 1013.2  18.5 999.0 999.0 99.0 99.00
2016 10 04 15 42  14  1.7  1.9 99.00 99.00 99.00 999 1013.2  18.8 999.0 999.0 99.0 99.00
2016 10 04 15 48  31  1.7  1.8 99.00 99.00 99.00 999 1013.3  19.0 999.0 999.0 99.0 99.00
2016 10 04 15 54  57  1.4  1.6 99.00 99.00 99.00 999 1013.3  19.0 999.0 999.0 99.0 99.00
