#DATETIME_PST WDIR WSPD GST PRES ATMP
#ISO_8601_PST degT kt kt hPa degC
2023-12-31T16:00:00-08:00 112 6.6 9.3 null 15.7
2023-12-31T17:00:00-08:00 181 5.4 8.7 null 15.5
2023-12-31T18:00:00-08:00 209 5.3 7.2 null 15.7
2024-01-01T10:00:00-08:00 18 4.5 6.6 null 17.4
2024-01-01T11:00:00-08:00 73 3.2 5.3 null 18.2
2024-01-01T12:00:00-08:00 120 3.2 4.2 null 18.1
2024-01-01T13:00:00-08:00 174 3.0 4.9 null 19.9
2024-01-01T14:00:00-08:00 225 6.0 8.9 null 17.9
2024-01-01T15:00:00-08:00 240 5.6 8.2 null 17.2
2024-01-01T16:00:00-08:00 243 6.0 9.1 null 16.8
2024-01-01T17:00:00-08:00 258 7.0 11.2 null 16.3
2024-01-01T18:00:00-08:00 275 6.6 10.6 null 16.2
2024-01-02T10:00:00-08:00 59 3.7 5.1 null 16.0
2024-01-02T11:00:00-08:00 89 4.2 5.5 null 16.6
2024-01-02T12:00:00-08:00 137 5.5 7.0 null 16.6
2024-01-02T13:00:00-08:00 164 5.2 6.8 null 17.9
2024-01-02T14:00:00-08:00 178 6.4 8.2 null 17.5
2024-01-02T15:00:00-08:00 206 6.7 8.9 null 17.1
2024-01-02T16:00:00-08:00 237 8.0 11.0 null 16.1
2024-01-02T17:00:00-08:00 253 7.8 11.2 null 15.7
2024-01-02T18:00:00-08:00 273 6.2 10.3 null 15.5
2024-01-03T10:00:00-08:00 295 11.8 19.0 null 15.5
2024-01-03T11:00:00-08:00 287 13.6 22.2 null 15.7
2024-01-03T12:00:00-08:00 288 15.7 23.8 null 15.9
2024-01-03T13:00:00-08:00 288 14.8 24.5 null 15.9
2024-01-03T14:00:00-08:00 286 15.5 26.2 null 16.0
2024-01-03T15:00:00-08:00 286 16.1 25.6 null 15.7
2024-01-03T16:00:00-08:00 293 12.5 21.7 null 15.6
2024-01-03T17:00:00-08:00 300 10.8 19.0 null 15.3
2024-01-03T18:00:00-08:00 294 8.0 13.7 null 15.2
2024-01-04T10:00:00-08:00 198 7.5 11.4 null 16.3
2024-01-04T11:00:00-08:00 102 6.1 10.1 null 15.3
2024-01-04T12:00:00-08:00 133 6.1 13.1 null 16.3
2024-01-04T13:00:00-08:00 147 6.4 12.5 null 17.8
2024-01-04T14:00:00-08:00 121 5.5 7.0 null 16.8
2024-01-04T15:00:00-08:00 209 7.3 9.5 null 16.6
2024-01-04T16:00:00-08:00 239 8.2 12.5 null 16.3
2024-01-04T17:00:00-08:00 295 6.2 12.2 null 16.1
2024-01-04T18:00:00-08:00 300 4.3 7.0 null 16.0
2024-01-05T10:00:00-08:00 19 4.7 8.0 null 15.3
2024-01-05T11:00:00-08:00 35 4.6 7.6 null 16.0
2024-01-05T12:00:00-08:00 103 4.0 5.9 null 16.6
2024-01-05T13:00:00-08:00 161 2.4 4.6 null 18.3
2024-01-05T14:00:00-08:00 209 4.3 5.9 null 17.3
2024-01-05T15:00:00-08:00 209 6.5 9.3 null 16.8
2024-01-05T16:00:00-08:00 228 5.9 8.2 null 15.5
2024-01-05T17:00:00-08:00 240 6.7 11.8 null 15.4
2024-01-05T18:00:00-08:00 265 6.8 10.6 null 14.9
2024-01-06T10:00:00-08:00 51 2.4 4.0 null 15.3
2024-01-06T11:00:00-08:00 73 1.9 4.4 null 16.7
2024-01-06T12:00:00-08:00 153 0.5 1.5 null 19.2
2024-01-06T13:00:00-08:00 170 5.4 8.9 null 17.7
2024-01-06T14:00:00-08:00 148 7.3 8.9 null 16.1
2024-01-06T15:00:00-08:00 145 7.8 9.9 null 15.9
2024-01-06T16:00:00-08:00 137 9.8 12.7 null 15.6
2024-01-06T17:00:00-08:00 224 9.1 12.3 null 15.5
2024-01-06T18:00:00-08:00 259 10.2 13.5 null 15.3
2024-01-07T10:00:00-08:00 340 16.6 26.0 null 13.1
2024-01-07T11:00:00-08:00 248 12.4 21.3 null 13.9
2024-01-07T12:00:00-08:00 275 12.3 22.2 null 14.4
2024-01-07T13:00:00-08:00 305 10.6 16.9 null 14.5
2024-01-07T14:00:00-08:00 290 9.9 14.8 null 14.6
2024-01-07T15:00:00-08:00 281 9.2 13.9 null 14.5
2024-01-07T16:00:00-08:00 321 9.4 15.2 null 14.5
2024-01-07T17:00:00-08:00 336 11.7 19.2 null 13.7
2024-01-07T18:00:00-08:00 328 14.4 23.8 null 12.8
2024-01-08T10:00:00-08:00 63 3.8 6.5 null 15.0
2024-01-08T11:00:00-08:00 69 3.4 7.2 null 16.0
2024-01-08T12:00:00-08:00 226 6.9 10.1 null 13.8
2024-01-08T13:00:00-08:00 238 8.2 12.2 null 13.9
2024-01-08T14:00:00-08:00 249 9.6 14.2 null 14.1
2024-01-08T15:00:00-08:00 244 8.9 12.2 null 14.3
2024-01-08T16:00:00-08:00 255 8.4 13.3 null 14.1
2024-01-08T17:00:00-08:00 268 9.8 13.3 null 13.8
2024-01-08T18:00:00-08:00 278 6.5 10.4 null 13.6
2024-01-09T10:00:00-08:00 39 2.4 3.2 null 15.5
2024-01-09T11:00:00-08:00 88 2.3 3.2 null 15.5
2024-01-09T12:00:00-08:00 166 3.9 6.1 null 15.4
2024-01-09T13:00:00-08:00 206 5.5 8.5 null 15.8
2024-01-09T14:00:00-08:00 214 8.4 10.1 null 14.6
2024-01-09T15:00:00-08:00 216 6.4 8.4 null 14.8
2024-01-09T16:00:00-08:00 228 7.2 9.5 null 14.3
2024-01-09T17:00:00-08:00 249 6.3 9.7 null 14.2
2024-01-09T18:00:00-08:00 271 3.3 6.1 null 13.8
