#DATETIME_PST WDIR WSPD GST PRES ATMP
#ISO_8601_PST degT kt kt hPa degC
2020-01-07T10:00:00-08:00 340 7.6 12.0 null null
2020-01-07T11:00:00-08:00 85 5.2 5.9 null null
2020-01-07T12:00:00-08:00 158 4.4 6.5 null null
2020-01-07T13:00:00-08:00 217 6.3 9.3 null null
2020-01-07T14:00:00-08:00 226 8.5 10.4 null null
2020-01-07T15:00:00-08:00 230 10.2 14.4 null null
2020-01-07T16:00:00-08:00 247 11.9 16.0 null null
2020-01-07T17:00:00-08:00 230 6.6 12.0 null null
2020-01-07T18:00:00-08:00 183 4.8 9.3 null null
2020-01-08T10:00:00-08:00 41 7.1 10.1 null null
2020-01-08T11:00:00-08:00 86 5.7 6.8 null null
2020-01-08T12:00:00-08:00 156 5.7 7.4 null null
2020-01-08T13:00:00-08:00 194 5.3 7.2 null null
2020-01-08T14:00:00-08:00 195 5.9 7.4 null null
2020-01-08T15:00:00-08:00 220 5.8 8.0 null null
2020-01-08T16:00:00-08:00 249 8.9 12.2 null null
2020-01-08T17:00:00-08:00 268 5.5 9.9 null null
2020-01-08T18:00:00-08:00 77 1.5 2.7 null null
2020-01-09T10:00:00-08:00 209 3.8 9.1 null null
2020-01-09T11:00:00-08:00 247 11.6 15.8 null null
2020-01-09T12:00:00-08:00 257 13.2 21.5 null null
2020-01-09T13:00:00-08:00 265 13.9 23.2 null null
2020-01-09T14:00:00-08:00 259 13.9 19.4 null null
2020-01-09T15:00:00-08:00 240 10.0 16.3 null null
2020-01-09T16:00:00-08:00 248 10.2 13.7 null null
2020-01-09T17:00:00-08:00 217 4.3 10.4 null null
2020-01-09T18:00:00-08:00 291 3.3 10.6 null null
2020-01-10T10:00:00-08:00 36 4.8 7.2 null null
2020-01-10T11:00:00-08:00 85 4.5 6.6 null null
2020-01-10T12:00:00-08:00 140 2.9 4.2 null null
2020-01-10T13:00:00-08:00 148 4.7 6.5 null null
2020-01-10T14:00:00-08:00 178 5.9 8.5 null null
2020-01-10T15:00:00-08:00 178 6.6 8.5 null null
2020-01-10T16:00:00-08:00 183 4.7 7.0 null null
2020-01-10T17:00:00-08:00 197 4.2 6.1 null null
2020-01-10T18:00:00-08:00 254 6.6 8.5 null null
2020-01-11T10:00:00-08:00 44 2.9 4.0 null null
2020-01-11T11:00:00-08:00 54 3.1 4.4 null null
2020-01-11T12:00:00-08:00 75 3.1 4.4 null null
2020-01-11T13:00:00-08:00 104 5.5 10.1 null null
2020-01-11T14:00:00-08:00 142 6.3 8.0 null null
2020-01-11T15:00:00-08:00 170 3.2 5.3 null null
2020-01-11T16:00:00-08:00 230 3.7 6.5 null null
2020-01-11T17:00:00-08:00 261 5.2 7.0 null null
2020-01-11T18:00:00-08:00 306 2.6 5.1 null null
2020-01-12T10:00:00-08:00 49 2.8 4.2 null null
2020-01-12T11:00:00-08:00 141 2.4 3.8 null null
2020-01-12T12:00:00-08:00 181 5.5 9.3 null null
2020-01-12T13:00:00-08:00 211 9.1 11.2 null null
2020-01-12T14:00:00-08:00 228 9.1 12.7 null null
2020-01-12T15:00:00-08:00 236 8.2 11.0 null null
2020-01-12T16:00:00-08:00 242 8.0 11.0 null null
2020-01-12T17:00:00-08:00 247 6.5 8.7 null null
2020-01-12T18:00:00-08:00 256 4.1 5.7 null null
2020-01-13T10:00:00-08:00 86 3.6 4.8 null null
2020-01-13T11:00:00-08:00 137 3.5 5.5 null null
2020-01-13T12:00:00-08:00 161 5.3 6.5 null null
2020-01-13T13:00:00-08:00 169 6.3 7.8 null null
2020-01-13T14:00:00-08:00 183 6.3 7.6 null null
2020-01-13T15:00:00-08:00 197 7.1 9.1 null null
2020-01-13T16:00:00-08:00 202 7.2 9.1 null null
2020-01-13T17:00:00-08:00 229 6.5 8.5 null null
2020-01-13T18:00:00-08:00 252 5.0 7.2 null null
2020-01-14T10:00:00-08:00 106 3.8 4.9 null null
2020-01-14T11:00:00-08:00 139 3.2 4.8 null null
2020-01-14T12:00:00-08:00 168 5.4 6.6 null null
2020-01-14T13:00:00-08:00 192 6.9 9.1 null null
2020-01-14T14:00:00-08:00 214 8.2 10.4 null null
2020-01-14T15:00:00-08:00 213 8.5 10.4 null null
2020-01-14T16:00:00-08:00 224 6.7 9.1 null null
2020-01-14T17:00:00-08:00 249 6.0 8.2 null null
2020-01-14T18:00:00-08:00 270 4.5 6.3 null null
2020-01-15T10:00:00-08:00 192 2.4 4.8 null null
2020-01-15T11:00:00-08:00 182 3.0 7.2 null null
2020-01-15T12:00:00-08:00 225 8.4 11.2 null null
2020-01-15T13:00:00-08:00 235 9.3 12.2 null null
2020-01-15T14:00:00-08:00 233 9.8 13.1 null null
2020-01-15T15:00:00-08:00 242 9.3 12.5 null null
2020-01-15T16:00:00-08:00 250 7.0 9.9 null null
2020-01-15T17:00:00-08:00 264 4.2 7.6 null null
2020-01-15T18:00:00-08:00 247 3.9 6.6 null null
2020-01-16T10:00:00-08:00 69 3.0 4.8 null null
2020-01-16T11:00:00-08:00 116 2.9 5.9 null null
2020-01-16T12:00:00-08:00 198 6.1 9.7 null null
2020-01-16T13:00:00-08:00 206 5.2 7.6 null null
2020-01-16T14:00:00-08:00 237 9.0 15.8 null null
2020-01-16T15:00:00-08:00 258 12.3 16.5 null null
2020-01-16T16:00:00-08:00 234 9.8 12.5 null null
2020-01-16T17:00:00-08:00 228 10.3 14.2 null null
2020-01-16T18:00:00-08:00 198 8.9 11.2 null null
2020-01-17T10:00:00-08:00 109 4.0 6.8 null null
2020-01-17T11:00:00-08:00 145 2.4 5.1 null null
2020-01-17T12:00:00-08:00 177 5.6 7.8 null null
2020-01-17T13:00:00-08:00 211 5.4 8.0 null null
2020-01-17T14:00:00-08:00 221 5.0 6.6 null null
2020-01-17T15:00:00-08:00 223 7.0 8.9 null null
2020-01-17T16:00:00-08:00 246 7.2 9.5 null null
2020-01-17T17:00:00-08:00 262 5.2 7.4 null null
2020-01-17T18:00:00-08:00 256 3.9 5.1 null null
2020-01-18T10:00:00-08:00 105 4.6 8.7 null null
2020-01-18T11:00:00-08:00 161 4.2 9.5 null null
2020-01-18T12:00:00-08:00 237 10.2 13.9 null null
2020-01-18T13:00:00-08:00 238 10.0 12.9 null null
2020-01-18T14:00:00-08:00 238 8.9 11.4 null null
2020-01-18T15:00:00-08:00 239 8.5 11.2 null null
2020-01-18T16:00:00-08:00 240 6.8 8.7 null null
2020-01-18T17:00:00-08:00 231 1.8 4.6 null null
2020-01-18T18:00:00-08:00 108 1.3 2.3 null null
2020-01-19T10:00:00-08:00 55 5.6 7.4 null null
2020-01-19T11:00:00-08:00 96 4.7 7.0 null null
2020-01-19T12:00:00-08:00 221 8.7 14.4 null null
2020-01-19T13:00:00-08:00 238 9.3 14.1 null null
2020-01-19T14:00:00-08:00 238 8.8 13.1 null null
2020-01-19T15:00:00-08:00 236 7.6 13.7 null null
2020-01-19T16:00:00-08:00 110 2.3 4.8 null null
2020-01-19T17:00:00-08:00 235 6.1 9.3 null null
2020-01-19T18:00:00-08:00 154 4.4 6.6 null null
2020-01-20T10:00:00-08:00 97 5.2 8.7 null null
2020-01-20T11:00:00-08:00 77 2.5 6.8 null null
2020-01-20T12:00:00-08:00 251 8.0 11.8 null null
2020-01-20T13:00:00-08:00 230 6.6 8.5 null null
2020-01-20T14:00:00-08:00 194 2.6 5.7 null null
2020-01-20T15:00:00-08:00 126 2.1 4.0 null null
2020-01-20T16:00:00-08:00 136 1.4 3.6 null null
2020-01-20T17:00:00-08:00 198 1.8 2.8 null null
2020-01-20T18:00:00-08:00 232 2.2 4.2 null null
2020-01-21T10:00:00-08:00 229 5.3 8.5 null null
2020-01-21T11:00:00-08:00 240 7.5 10.8 null null
2020-01-21T12:00:00-08:00 239 7.5 10.6 null null
2020-01-21T13:00:00-08:00 234 8.0 12.9 null null
2020-01-21T14:00:00-08:00 234 8.2 11.6 null null
2020-01-21T15:00:00-08:00 246 9.4 12.3 null null
2020-01-21T16:00:00-08:00 261 8.1 12.5 null null
2020-01-21T17:00:00-08:00 264 7.7 10.4 null null
2020-01-21T18:00:00-08:00 258 5.8 8.4 null null
2020-01-22T10:00:00-08:00 99 2.4 4.2 null null
2020-01-22T11:00:00-08:00 136 3.2 6.8 null null
2020-01-22T12:00:00-08:00 159 5.2 6.3 null null
2020-01-22T13:00:00-08:00 143 4.9 6.8 null null
2020-01-22T14:00:00-08:00 182 4.7 6.6 null null
2020-01-22T15:00:00-08:00 182 4.7 6.1 null null
2020-01-22T16:00:00-08:00 219 5.1 8.9 null null
2020-01-22T17:00:00-08:00 240 7.3 10.3 null null
2020-01-22T18:00:00-08:00 260 5.3 8.2 null null
2020-01-23T10:00:00-08:00 180 4.6 6.6 null null
2020-01-23T11:00:00-08:00 227 6.3 8.4 null null
2020-01-23T12:00:00-08:00 228 8.1 11.4 null null
