#DATETIME_PST WDIR WSPD GST PRES ATMP
#ISO_8601_PST degT kt kt hPa degC
2021-12-31T16:00:00-08:00 270 7.0 15.8 null 13.6
2021-12-31T17:00:00-08:00 269 7.3 14.4 null 13.4
2021-12-31T18:00:00-08:00 286 7.0 14.6 null 13.4
2022-01-01T10:00:00-08:00 40 5.7 7.8 null 14.7
2022-01-01T11:00:00-08:00 64 4.2 7.2 null 16.1
2022-01-01T12:00:00-08:00 140 2.3 4.9 null 17.3
2022-01-01T13:00:00-08:00 217 7.0 12.3 null 16.1
2022-01-01T14:00:00-08:00 231 10.3 13.5 null 14.4
2022-01-01T15:00:00-08:00 229 9.5 12.2 null 14.3
2022-01-01T16:00:00-08:00 253 6.6 9.1 null 14.4
2022-01-01T17:00:00-08:00 267 4.8 8.0 null 14.2
2022-01-01T18:00:00-08:00 266 2.8 4.4 null 13.8
2022-01-02T10:00:00-08:00 12 4.5 6.5 null 15.2
2022-01-02T11:00:00-08:00 33 3.8 4.9 null 16.8
2022-01-02T12:00:00-08:00 105 3.3 5.3 null 17.3
2022-01-02T13:00:00-08:00 196 5.2 6.8 null 16.6
2022-01-02T14:00:00-08:00 230 6.6 9.3 null 15.0
2022-01-02T15:00:00-08:00 246 9.1 12.7 null 14.6
2022-01-02T16:00:00-08:00 252 10.7 14.1 null 14.2
2022-01-02T17:00:00-08:00 260 10.5 13.3 null 13.9
2022-01-02T18:00:00-08:00 272 8.9 12.5 null 13.6
2022-01-03T10:00:00-08:00 76 2.6 4.6 null 14.2
2022-01-03T11:00:00-08:00 112 2.5 3.6 null 15.3
2022-01-03T12:00:00-08:00 198 5.5 9.3 null 16.3
2022-01-03T13:00:00-08:00 244 10.6 14.6 null 14.4
2022-01-03T14:00:00-08:00 254 11.9 16.1 null 14.3
2022-01-03T15:00:00-08:00 257 10.7 15.8 null 14.2
2022-01-03T16:00:00-08:00 270 9.4 13.5 null 14.2
2022-01-03T17:00:00-08:00 260 8.1 12.3 null 13.6
2022-01-03T18:00:00-08:00 272 7.2 12.0 null 13.3
2022-01-04T10:00:00-08:00 43 1.5 3.6 null 15.4
2022-01-04T11:00:00-08:00 89 1.8 3.2 null 15.8
2022-01-04T12:00:00-08:00 174 2.8 4.8 null 15.9
2022-01-04T13:00:00-08:00 196 5.6 8.4 null 15.4
2022-01-04T14:00:00-08:00 220 7.9 9.9 null 14.1
2022-01-04T15:00:00-08:00 244 7.9 10.6 null 14.2
2022-01-04T16:00:00-08:00 245 7.5 10.1 null 13.9
2022-01-04T17:00:00-08:00 266 6.6 8.5 null 13.6
2022-01-04T18:00:00-08:00 263 4.9 7.0 null 13.4
2022-01-05T10:00:00-08:00 62 4.0 6.1 null 15.1
2022-01-05T11:00:00-08:00 186 4.1 7.0 null 15.1
2022-01-05T12:00:00-08:00 203 6.0 9.7 null 16.0
2022-01-05T13:00:00-08:00 212 7.8 9.7 null 15.0
2022-01-05T14:00:00-08:00 234 8.1 12.3 null 15.0
2022-01-05T15:00:00-08:00 237 9.0 13.3 null 14.6
2022-01-05T16:00:00-08:00 236 7.2 10.4 null 14.7
2022-01-05T17:00:00-08:00 237 5.0 10.1 null 14.5
2022-01-05T18:00:00-08:00 237 3.3 5.5 null 14.5
2022-01-06T10:00:00-08:00 133 0.9 3.0 null 12.6
2022-01-06T11:00:00-08:00 138 1.9 4.0 null 13.0
2022-01-06T12:00:00-08:00 185 2.0 4.2 null 13.4
2022-01-06T13:00:00-08:00 187 2.8 5.5 null 13.6
2022-01-06T14:00:00-08:00 201 6.9 9.7 null 13.9
2022-01-06T15:00:00-08:00 214 8.3 10.3 null 12.7
2022-01-06T16:00:00-08:00 198 5.7 11.0 null 13.6
2022-01-06T17:00:00-08:00 229 3.1 6.3 null 14.5
2022-01-06T18:00:00-08:00 231 3.8 8.4 null 14.3
2022-01-07T10:00:00-08:00 196 2.1 4.0 null 12.5
2022-01-07T11:00:00-08:00 97 2.3 6.6 null 13.1
2022-01-07T12:00:00-08:00 110 4.3 8.0 null 13.1
2022-01-07T13:00:00-08:00 143 5.6 8.5 null 12.9
2022-01-07T14:00:00-08:00 115 2.9 6.6 null 13.0
2022-01-07T15:00:00-08:00 116 5.2 11.4 null 13.0
2022-01-07T16:00:00-08:00 204 3.7 7.0 null 13.0
2022-01-07T17:00:00-08:00 205 3.0 5.7 null 12.8
2022-01-07T18:00:00-08:00 191 3.7 9.1 null 12.9
2022-01-08T10:00:00-08:00 72 2.0 4.6 null 16.2
2022-01-08T11:00:00-08:00 71 1.4 4.2 null 16.9
2022-01-08T12:00:00-08:00 168 3.7 5.3 null 17.1
2022-01-08T13:00:00-08:00 175 3.9 5.5 null 17.7
2022-01-08T14:00:00-08:00 206 5.1 7.2 null 16.8
2022-01-08T15:00:00-08:00 232 6.4 8.9 null 14.9
2022-01-08T16:00:00-08:00 233 8.0 10.3 null 14.6
2022-01-08T17:00:00-08:00 246 7.4 10.3 null 14.4
2022-01-08T18:00:00-08:00 262 5.9 9.3 null 14.3
2022-01-09T10:00:00-08:00 153 3.4 6.5 null 19.0
2022-01-09T11:00:00-08:00 90 3.6 9.3 null 20.6
2022-01-09T12:00:00-08:00 236 4.2 8.0 null 16.4
2022-01-09T13:00:00-08:00 229 5.7 9.7 null 16.9
2022-01-09T14:00:00-08:00 241 6.7 10.3 null 16.9
2022-01-09T15:00:00-08:00 243 9.4 16.5 null 16.4
2022-01-09T16:00:00-08:00 253 9.3 14.8 null 16.0
2022-01-09T17:00:00-08:00 243 5.7 9.1 null 16.4
2022-01-09T18:00:00-08:00 300 5.7 7.4 null 16.0
2022-01-10T10:00:00-08:00 332 9.7 13.5 null 18.0
2022-01-10T11:00:00-08:00 336 8.8 12.3 null 19.2
2022-01-10T12:00:00-08:00 301 7.9 11.0 null 21.2
2022-01-10T13:00:00-08:00 252 7.7 11.4 null 22.5
2022-01-10T14:00:00-08:00 346 6.6 9.5 null 23.1
2022-01-10T15:00:00-08:00 14 7.4 9.5 null 23.1
2022-01-10T16:00:00-08:00 13 8.1 10.6 null 22.5
2022-01-10T17:00:00-08:00 31 8.5 13.7 null 21.2
2022-01-10T18:00:00-08:00 18 8.3 10.4 null 20.6
2022-01-11T10:00:00-08:00 301 9.9 13.9 null 20.3
2022-01-11T11:00:00-08:00 8 6.6 9.9 null 23.4
2022-01-11T12:00:00-08:00 40 5.9 8.2 null 25.0
2022-01-11T13:00:00-08:00 166 5.5 10.8 null 25.0
2022-01-11T14:00:00-08:00 246 7.6 10.6 null 21.9
