#DATETIME_PST WDIR WSPD GST PRES ATMP
#ISO_8601_PST degT kt kt hPa degC
2016-10-04T10:00:00-08:00 187 6.2 8.2 1013.0 19.9
2016-10-04T11:00:00-08:00 203 8.5 10.6 1012.6 19.4
2016-10-04T12:00:00-08:00 215 10.4 12.5 1012.0 19.0
2016-10-04T13:00:00-08:00 226 12.7 15.6 1011.5 19.1
2016-10-04T14:00:00-08:00 231 13.1 17.5 1011.3 19.0
2016-10-04T15:00:00-08:00 235 12.2 16.1 1011.1 19.0
2016-10-04T16:00:00-08:00 232 11.4 16.7 1010.9 18.5
2016-10-04T17:00:00-08:00 226 11.7 14.6 1011.0 18.2
2016-10-04T18:00:00-08:00 214 10.0 13.3 1011.2 18.1
2016-10-05T10:00:00-08:00 182 5.3 8.5 1014.3 20.8
2016-10-05T11:00:00-08:00 207 7.6 9.1 1013.9 19.9
2016-10-05T12:00:00-08:00 219 8.5 10.1 1013.1 19.1
2016-10-05T13:00:00-08:00 216 10.0 12.3 1012.5 19.4
2016-10-05T14:00:00-08:00 226 10.8 13.9 1012.4 19.8
2016-10-05T15:00:00-08:00 238 10.3 13.9 1012.0 19.9
2016-10-05T16:00:00-08:00 238 9.7 12.7 1011.9 19.3
2016-10-05T17:00:00-08:00 239 8.7 12.2 1011.8 18.8
2016-10-05T18:00:00-08:00 237 6.3 9.3 1012.0 18.6
2016-10-06T10:00:00-08:00 215 8.3 11.2 1013.6 18.9
2016-10-06T11:00:00-08:00 226 11.0 14.8 1013.0 19.3
2016-10-06T12:00:00-08:00 233 11.1 15.8 1012.3 20.2
2016-10-06T13:00:00-08:00 240 14.0 18.1 1011.8 20.6
2016-10-06T14:00:00-08:00 243 12.3 16.7 1011.4 21.1
2016-10-06T15:00:00-08:00 244 8.7 13.9 1011.0 21.4
2016-10-06T16:00:00-08:00 215 3.4 5.7 1010.9 22.4
2016-10-06T17:00:00-08:00 240 3.8 6.5 1010.8 21.4
2016-10-06T18:00:00-08:00 145 3.9 7.0 1011.0 21.1
2016-10-07T10:00:00-08:00 160 2.7 4.4 1013.0 21.7
2016-10-07T11:00:00-08:00 205 6.5 8.0 1012.5 20.8
2016-10-07T12:00:00-08:00 222 7.3 8.7 1011.6 20.4
2016-10-07T13:00:00-08:00 234 6.7 9.7 1010.7 22.2
2016-10-07T14:00:00-08:00 231 9.0 13.3 1010.2 22.4
2016-10-07T15:00:00-08:00 240 10.5 14.2 1009.9 24.0
2016-10-07T16:00:00-08:00 245 8.2 13.7 1009.7 23.6
2016-10-07T17:00:00-08:00 138 2.1 4.2 1009.8 24.2
2016-10-07T18:00:00-08:00 214 3.2 4.4 1010.2 23.4
2016-10-08T10:00:00-08:00 201 6.1 7.8 1012.8 21.4
2016-10-08T11:00:00-08:00 210 7.8 10.1 1012.4 20.6
2016-10-08T12:00:00-08:00 215 11.1 13.9 1011.9 20.6
2016-10-08T13:00:00-08:00 237 11.7 17.9 1011.3 22.3
2016-10-08T14:00:00-08:00 247 12.8 16.5 1011.2 23.0
2016-10-08T15:00:00-08:00 245 13.7 16.3 1011.4 23.6
2016-10-08T16:00:00-08:00 237 10.8 16.0 1011.4 23.5
2016-10-08T17:00:00-08:00 249 8.7 13.5 1011.5 22.7
2016-10-08T18:00:00-08:00 241 5.3 8.9 1011.8 22.1
2016-10-09T10:00:00-08:00 226 8.7 11.8 1014.6 20.5
2016-10-09T11:00:00-08:00 229 9.9 13.1 1014.3 20.9
2016-10-09T12:00:00-08:00 228 9.1 12.0 1013.6 21.4
2016-10-09T13:00:00-08:00 239 11.3 16.5 1013.0 23.0
2016-10-09T14:00:00-08:00 237 12.2 16.5 1012.9 23.4
2016-10-09T15:00:00-08:00 240 9.6 13.5 1012.8 23.4
2016-10-09T16:00:00-08:00 238 11.0 15.2 1012.6 22.7
2016-10-09T17:00:00-08:00 233 5.8 10.4 1012.8 22.5
2016-10-09T18:00:00-08:00 246 5.7 8.2 1013.3 21.8
2016-10-10T10:00:00-08:00 233 9.0 11.6 1015.5 20.4
2016-10-10T11:00:00-08:00 238 10.1 15.0 1015.0 20.9
2016-10-10T12:00:00-08:00 238 12.0 16.7 1014.4 21.3
2016-10-10T13:00:00-08:00 238 12.0 16.9 1013.9 21.5
2016-10-10T14:00:00-08:00 247 13.6 17.7 1013.7 20.8
2016-10-10T15:00:00-08:00 253 14.5 19.9 1013.7 20.3
2016-10-10T16:00:00-08:00 248 13.5 19.0 1013.8 20.5
2016-10-10T17:00:00-08:00 246 13.1 16.5 1013.9 19.4
2016-10-10T18:00:00-08:00 254 11.9 16.7 1014.3 18.9
2016-10-11T10:00:00-08:00 230 8.8 12.7 1018.8 17.9
2016-10-11T11:00:00-08:00 235 10.1 12.7 1018.5 18.3
2016-10-11T12:00:00-08:00 240 9.8 13.3 1017.8 18.5
2016-10-11T13:00:00-08:00 237 9.1 12.7 1017.1 18.8
2016-10-11T14:00:00-08:00 237 11.0 14.2 1017.0 18.6
