#DATETIME_PST WDIR WSPD GST PRES ATMP
#ISO_8601_PST degT kt kt hPa degC
2022-12-31T16:00:00-08:00 161 10.6 16.9 null 15.3
2022-12-31T17:00:00-08:00 162 13.1 16.5 null 15.1
2022-12-31T18:00:00-08:00 158 14.6 23.4 null 15.2
2023-01-01T10:00:00-08:00 289 16.3 26.6 null 14.6
2023-01-01T11:00:00-08:00 297 17.6 32.7 null 15.0
2023-01-01T12:00:00-08:00 287 22.0 31.3 null 14.8
2023-01-01T13:00:00-08:00 285 21.0 33.1 null 15.0
2023-01-01T14:00:00-08:00 285 20.7 32.1 null 15.1
2023-01-01T15:00:00-08:00 288 17.0 27.5 null 15.1
2023-01-01T16:00:00-08:00 298 14.4 21.5 null 14.6
2023-01-01T17:00:00-08:00 298 11.6 20.7 null 14.0
2023-01-01T18:00:00-08:00 295 12.6 20.1 null 13.9
2023-01-02T10:00:00-08:00 46 3.1 5.7 null 12.9
2023-01-02T11:00:00-08:00 76 3.5 5.1 null 13.5
2023-01-02T12:00:00-08:00 161 1.7 3.6 null 13.9
2023-01-02T13:00:00-08:00 184 3.2 5.9 null 13.8
2023-01-02T14:00:00-08:00 107 4.0 9.7 null 13.7
2023-01-02T15:00:00-08:00 106 6.3 9.5 null 13.8
2023-01-02T16:00:00-08:00 203 8.9 12.7 null 13.7
2023-01-02T17:00:00-08:00 236 5.5 10.3 null 13.3
2023-01-02T18:00:00-08:00 166 3.5 7.2 null 13.0
2023-01-03T10:00:00-08:00 47 13.8 16.9 null 11.9
2023-01-03T11:00:00-08:00 54 13.4 16.5 null 12.3
2023-01-03T12:00:00-08:00 74 13.5 22.8 null 13.2
2023-01-03T13:00:00-08:00 97 17.8 23.4 null 14.2
2023-01-03T14:00:00-08:00 90 15.8 23.4 null 14.3
2023-01-03T15:00:00-08:00 94 17.1 22.4 null 14.4
2023-01-03T16:00:00-08:00 108 16.6 22.6 null 14.4
2023-01-03T17:00:00-08:00 115 19.4 24.7 null 14.4
2023-01-03T18:00:00-08:00 106 17.5 23.0 null 14.4
2023-01-04T10:00:00-08:00 124 17.4 21.1 null 15.2
2023-01-04T11:00:00-08:00 127 17.6 21.3 null 15.2
2023-01-04T12:00:00-08:00 129 16.1 19.4 null 15.2
2023-01-04T13:00:00-08:00 128 15.7 20.1 null 15.2
2023-01-04T14:00:00-08:00 133 13.4 19.2 null 15.2
2023-01-04T15:00:00-08:00 126 13.2 16.5 null 15.0
2023-01-04T16:00:00-08:00 137 11.5 16.0 null 15.2
2023-01-04T17:00:00-08:00 147 10.1 13.7 null 15.4
2023-01-04T18:00:00-08:00 145 11.6 20.3 null 15.4
2023-01-05T10:00:00-08:00 211 14.8 18.4 null 15.8
2023-01-05T11:00:00-08:00 224 15.0 20.3 null 15.9
2023-01-05T12:00:00-08:00 235 13.4 19.2 null 15.8
2023-01-05T13:00:00-08:00 245 11.3 15.4 null 16.0
2023-01-05T14:00:00-08:00 243 8.1 13.3 null 16.1
2023-01-05T15:00:00-08:00 240 7.1 11.8 null 15.9
2023-01-05T16:00:00-08:00 248 7.5 12.5 null 15.7
2023-01-05T17:00:00-08:00 261 8.8 13.5 null 15.3
2023-01-05T18:00:00-08:00 273 7.2 11.8 null 15.2
2023-01-06T10:00:00-08:00 75 2.3 3.6 null 15.3
2023-01-06T11:00:00-08:00 112 3.4 4.4 null 15.3
2023-01-06T12:00:00-08:00 195 5.5 8.9 null 15.4
2023-01-06T13:00:00-08:00 203 7.7 10.3 null 15.2
2023-01-06T14:00:00-08:00 217 6.8 10.6 null 15.2
2023-01-06T15:00:00-08:00 232 9.2 12.7 null 14.8
2023-01-06T16:00:00-08:00 241 7.9 12.5 null 14.7
2023-01-06T17:00:00-08:00 263 5.7 7.0 null 14.2
2023-01-06T18:00:00-08:00 251 3.4 7.0 null 13.9
2023-01-07T10:00:00-08:00 66 3.0 3.6 null 15.7
2023-01-07T11:00:00-08:00 103 3.3 4.9 null 15.9
2023-01-07T12:00:00-08:00 134 3.2 5.5 null 15.8
2023-01-07T13:00:00-08:00 149 4.5 6.3 null 15.0
2023-01-07T14:00:00-08:00 208 4.1 5.3 null 15.2
2023-01-07T15:00:00-08:00 196 4.2 6.8 null 14.9
2023-01-07T16:00:00-08:00 218 5.1 8.2 null 14.9
2023-01-07T17:00:00-08:00 193 3.9 7.4 null 15.0
2023-01-07T18:00:00-08:00 164 3.5 6.8 null 14.8
2023-01-08T10:00:00-08:00 101 2.2 4.4 null 16.0
2023-01-08T11:00:00-08:00 164 3.3 5.1 null 17.1
2023-01-08T12:00:00-08:00 211 4.0 5.5 null 15.8
2023-01-08T13:00:00-08:00 189 4.3 5.9 null 17.0
2023-01-08T14:00:00-08:00 195 6.6 8.4 null 15.6
2023-01-08T15:00:00-08:00 214 6.9 8.5 null 15.2
2023-01-08T16:00:00-08:00 221 6.2 8.7 null 15.1
2023-01-08T17:00:00-08:00 221 3.9 7.0 null 15.1
2023-01-08T18:00:00-08:00 199 4.5 6.5 null 15.1
2023-01-09T10:00:00-08:00 117 16.2 20.1 null 15.1
2023-01-09T11:00:00-08:00 134 18.2 23.8 null 15.1
2023-01-09T12:00:00-08:00 137 20.2 24.9 null 14.9
2023-01-09T13:00:00-08:00 139 17.7 22.2 null 15.0
2023-01-09T14:00:00-08:00 144 17.9 24.1 null 15.2
2023-01-09T15:00:00-08:00 135 16.1 23.6 null 15.2
2023-01-09T16:00:00-08:00 146 19.1 22.6 null 15.4
2023-01-09T17:00:00-08:00 144 18.6 24.5 null 15.3
2023-01-09T18:00:00-08:00 148 20.6 26.6 null 15.2
2023-01-10T10:00:00-08:00 238 17.2 25.5 null 15.1
2023-01-10T11:00:00-08:00 270 12.8 18.6 null 14.0
2023-01-10T12:00:00-08:00 243 10.0 16.5 null 14.5
2023-01-10T13:00:00-08:00 244 9.8 15.6 null 14.9
2023-01-10T14:00:00-08:00 249 8.7 13.3 null 15.1
2023-01-10T15:00:00-08:00 250 8.3 11.6 null 15.2
2023-01-11T10:00:00-08:00 213 2.4 4.8 null 13.7
2023-01-11T11:00:00-08:00 82 2.5 4.4 null 15.5
2023-01-11T12:00:00-08:00 106 4.4 5.9 null 15.1
2023-01-11T13:00:00-08:00 147 3.4 4.8 null 15.6
2023-01-11T14:00:00-08:00 165 5.2 7.0 null 16.5
2023-01-11T15:00:00-08:00 191 5.9 8.7 null 15.1
2023-01-11T16:00:00-08:00 212 5.2 7.2 null 14.4
2023-01-11T17:00:00-08:00 245 5.0 7.8 null 14.4
2023-01-11T18:00:00-08:00 286 3.3 5.3 null 14.4
2023-01-12T10:00:00-08:00 26 5.4 8.0 null 16.6
2023-01-12T11:00:00-08:00 52 3.8 5.9 null 16.9
2023-01-12T12:00:00-08:00 89 0.8 3.0 null 18.7
2023-01-12T13:00:00-08:00 175 3.1 4.8 null 18.8
2023-01-12T14:00:00-08:00 207 1.7 3.4 null 18.7
2023-01-12T15:00:00-08:00 101 1.4 2.7 null 19.9
2023-01-12T16:00:00-08:00 20 0.4 1.7 null 19.7
2023-01-12T17:00:00-08:00 110 1.2 3.0 null 18.2
2023-01-12T18:00:00-08:00 217 4.5 6.8 null 17.6
2023-01-13T10:00:00-08:00 87 0.9 2.8 null 18.0
2023-01-13T11:00:00-08:00 208 3.8 5.9 null 15.8
2023-01-13T12:00:00-08:00 192 3.9 5.9 null 16.6
2023-01-13T13:00:00-08:00 234 8.3 13.1 null 15.5
2023-01-13T14:00:00-08:00 264 6.0 11.2 null 16.1
2023-01-13T15:00:00-08:00 115 2.3 7.2 null 17.3
2023-01-13T16:00:00-08:00 254 6.6 10.1 null 16.1
2023-01-13T17:00:00-08:00 262 6.5 9.3 null 15.7
2023-01-13T18:00:00-08:00 181 2.4 6.8 null 15.3
2023-01-14T10:00:00-08:00 131 10.5 14.4 null 14.3
2023-01-14T11:00:00-08:00 119 13.5 19.4 null 13.6
2023-01-14T12:00:00-08:00 102 18.4 22.0 null 13.3
2023-01-14T13:00:00-08:00 188 11.5 20.7 null 13.1
2023-01-14T14:00:00-08:00 200 5.9 10.8 null 12.1
